Symbol,Name,Market Cap,Country,Sector,Industry
BIIB,Biogen Inc. Common Stock,52382514168.00,United States,Health Care,Major Pharmaceuticals
BILI,Bilibili Inc. American Depositary Shares,47653826384.00,China,Technology,EDP Services
BIMI,BOQI International Medical Inc. Common Stock,30296730.00,China,Capital Goods,Metal Fabrications
BIOC,Biocept Inc. Common Stock,57496991.00,United States,Health Care,Biotechnology: Commercial Physical & Biological Resarch
BIOL,Biolase Inc. Common Stock,111475857.00,United States,Health Care,Medical/Dental Instruments
BIOT,Biotech Acquisition Company Class A Ordinary Shares,277725000.00,United States,Finance,Business Services
BIOX,Bioceres Crop Solutions Corp. Ordinary Shares,561738770.00,Argentina,Finance,Business Services
BITF,Bitfarms Ltd. Common Stock,588768468.00,Canada,,
BIVI,BioVie Inc. Class A Common Stock,387259838.00,United States,Health Care,Major Pharmaceuticals
BJRI,BJ's Restaurants Inc. Common Stock,1132599893.00,United States,Consumer Services,Restaurants
BKCC,BlackRock Capital Investment Corporation Common Stock,292899847.00,United States,Finance,Investment Managers
BKEP,Blueknight Energy Partners L.P. Common Units,145967800.00,United States,Energy,Oil & Gas Production
BKNG,Booking Holdings Inc. Common Stock,93668561310.00,United States,Transportation,Other Consumer Services
BKSC,Bank of South Carolina Corp. Common Stock,116016936.00,United States,Finance,Major Banks
BKYI,BIO-key International Inc. Common Stock,31281820.00,United States,Miscellaneous,Diversified Manufacture
BL,BlackLine Inc. Common Stock,6511646610.00,United States,Technology,Computer Software: Prepackaged Software
BLBD,Blue Bird Corporation Common Stock,747817635.00,United States,Capital Goods,Construction/Ag Equipment/Trucks
BLCM,Bellicum Pharmaceuticals Inc. Common Stock,28216618.00,United States,Health Care,Major Pharmaceuticals
BLCT,BlueCity Holdings Limited American Depositary Shares,242980948.00,China,Technology,EDP Services
BLDE,Blade Air Mobility Inc. Class A Common Stock,770342860.00,United States,Transportation,Aerospace
BLDP,Ballard Power Systems Inc. Common Shares,5385866028.00,Canada,Technology,Semiconductors
BLDR,Builders FirstSource Inc. Common Stock,9364506575.00,United States,Consumer Services,RETAIL: Building Materials
BLFS,BioLife Solutions Inc. Common Stock,1802209609.00,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
BLI,Berkeley Lights Inc. Common Stock,3209442822.00,United States,Consumer Durables,Specialty Chemicals
BLIN,Bridgeline Digital Inc. Common Stock,14903076.00,United States,Technology,EDP Services
BLKB,Blackbaud Inc. Common Stock,3857676669.00,United States,Technology,Computer Software: Prepackaged Software
